0,1,250
0,3,260
1,2,300
1,3,200
2,1,300
3,0,260
3,1,200
3,4,300
4,3,300
4,5,163
4,7,755
4,8,830
5,4,163
6,7,182
6,8,189
6,9,550
7,4,755
7,6,182
7,8,262
8,4,830
8,6,222
8,7,262
8,9,628
8,10,520
8,12,487
9,6,550
9,8,628
9,10,251
10,8,520
10,9,251
10,11,130
10,12,272
11,10,130
11,12,189
12,8,487
12,10,272
12,11,189



